id,name,description,seed_keywords,requires_entity,default_seed_fields,site_search_urls
`CONCEPT_FINANCIAL_SUMMARY`,财务摘要,公司核心财务指标的快速概览：盈利能力（ROE、毛利率、净利率）、成长能力（营收/净利同比增速）、资本结构（资产负债率）、营运能力（总资产周转率）、每股指标（EPS、每股净资产）,财务、ROE、毛利率、净利、营收、EPS,[`stock_code`],"FIELD_FIN_ROE_WAA, FIELD_FIN_GROSS_MARGIN, FIELD_FIN_NET_MARGIN, FIELD_FIN_REVENUE_YOY, FIELD_FIN_PROFIT_YOY, FIELD_FIN_DEBT_RATIO, FIELD_FIN_EPS, FIELD_FIN_BPS",`site:finance.sina.com.cn` 财务数据页
`CONCEPT_FINANCIAL_DEEP`,深度财务指标,ROIC、杜邦分解（净利率×总资产周转率×权益乘数）、ROE扣非、EBIT/EBITDA、已获利息倍数、单季度指标（单季度ROE/毛利率/营收增速）,ROIC、杜邦、EBIT、利息保障、单季度,[`stock_code`],"FIELD_FIN_ROIC, FIELD_FIN_ROE_DT, FIELD_FIN_EBIT_RATIO, FIELD_FIN_INTEREST_COVER, FIELD_FIN_EQUITY_MULT, FIELD_FIN_Q_ROE",—
`CONCEPT_FINANCIAL_STATEMENTS`,三大财务报表,完整的利润表、资产负债表、现金流量表，Excel级详细科目，支持银行/保险/证券专用科目,利润表、资产负债表、现金流量表、财报,[`stock_code`],"FIELD_FS_TOTAL_REVENUE, FIELD_FS_OPER_COST, FIELD_FS_NET_PROFIT, FIELD_FS_TOTAL_ASSETS, FIELD_FS_TOTAL_LIAB, FIELD_FS_TOTAL_EQUITY, FIELD_FS_OPER_CF, FIELD_FS_END_CASH",—
`CONCEPT_VALUATION_COMPARE`,估值对比分析,公司历史估值水平（PE/PB/PS历史分位数）和同行业估值对比（行业平均PE/PB、行业内估值排名）,估值分位、历史PE、行业PE、低估高估,[`stock_code`],"FIELD_VAL_PE_TTM, FIELD_VAL_PE_PCT, FIELD_VAL_PB, FIELD_VAL_PB_PCT, FIELD_VAL_IND_PE, FIELD_VAL_RATING",—
`CONCEPT_COMPANY_PROFILE`,公司概况,公司全面基础信息：股票代码、所属行业、上市日期、实控人、法人代表、注册资本、员工人数、主营业务,公司介绍、主营业务、实控人、注册资本、员工,[`stock_code`],"FIELD_PROFILE_FULLNAME, FIELD_PROFILE_INDUSTRY, FIELD_PROFILE_LIST_DATE, FIELD_PROFILE_ACT_NAME, FIELD_PROFILE_REG_CAPITAL, FIELD_PROFILE_EMPLOYEES, FIELD_PROFILE_MAIN_BUSINESS",`site:cninfo.com.cn` 公司概况页
`CONCEPT_TOP_HOLDERS`,前十大股东,公司前十大股东和前十大流通股东名单、持股数量、持股比例、较上期变动、股东类型,十大股东、持股、机构持仓、股东变动,[`stock_code`],"FIELD_HOLDER_NAME, FIELD_HOLDER_SHARES, FIELD_HOLDER_RATIO, FIELD_HOLDER_CHANGE, FIELD_HOLDER_TYPE",`site:cninfo.com.cn` 股东信息页
`CONCEPT_INSTITUTION_RATING`,机构持仓与评级,机构投资者持仓汇总（机构数量、持仓比例、季度变动）和券商研究报告（评级、目标价、盈利预测）,机构持仓、券商评级、目标价、研报,[`stock_code`],"FIELD_INST_COUNT, FIELD_INST_RATIO, FIELD_INST_CHANGE, FIELD_INST_RATING, FIELD_INST_TARGET_MAX, FIELD_INST_FORECAST_EPS",`site:eastmoney.com` 研报页
`CONCEPT_ANNOUNCEMENT`,公司公告,上市公司在交易所法定披露的正式公告（财报、重大事项、并购重组、定增、回购、人事变动等），S级权威信息来源,公告、披露、重大事项、定增、回购、并购,[`stock_code`],"FIELD_ANNOUNCE_TITLE, FIELD_ANNOUNCE_DATE, FIELD_ANNOUNCE_TYPE, FIELD_ANNOUNCE_LINK",`site:cninfo.com.cn` 公告检索页；`site:stcn.com` 公告解读
`CONCEPT_IRM_QA`,互动易问答,投资者在互动易平台的提问及公司回复内容，反映公司沟通态度和信息透明度,互动易、投资者问答、IR、公司回复,[`stock_code`],"FIELD_IRM_QUESTION, FIELD_IRM_QUESTION_DATE, FIELD_IRM_ANSWER, FIELD_IRM_ANSWER_DATE",—
`CONCEPT_IPO_INFO`,IPO信息,公司上市时的详细信息：发行价、发行总量、募集资金、发行市盈率、中签率、上市日期,IPO、发行价、中签率、上市日期、募资,[`stock_code`],"FIELD_IPO_PRICE, FIELD_IPO_AMOUNT, FIELD_IPO_FUNDS, FIELD_IPO_PE, FIELD_IPO_BALLOT, FIELD_IPO_LIST_DATE",—
`CONCEPT_DIVIDEND`,分红送配,公司历年分红送配方案：每10股派息金额、每股送转比例、股权登记日、除权除息日,分红、派息、送转、除权、股息率,[`stock_code`],"FIELD_DIV_END_DATE, FIELD_DIV_CASH, FIELD_DIV_STK, FIELD_DIV_RECORD_DATE, FIELD_DIV_EX_DATE",—
`CONCEPT_FUND_FLOW`,个股资金流向,个股主力资金细分流向：小单/中单/大单/特大单的买入卖出量及金额、净流入额,资金流向、主力、大单、净流入、特大单,[`stock_code`],"FIELD_FLOW_NET_AMT, FIELD_FLOW_LARGE_BUY_AMT, FIELD_FLOW_ELG_BUY_AMT, FIELD_FLOW_MEDIUM_BUY_AMT, FIELD_FLOW_SMALL_BUY_AMT",`site:eastmoney.com` 资金流向页
`CONCEPT_NORTHBOUND`,北向资金,沪深港通北向资金每日净流入流出、持股明细、十大成交股，以及南向资金每日成交统计,北向资金、陆股通、外资流入、持股明细,[],"FIELD_NORTH_NET, FIELD_NORTH_SH_NET, FIELD_NORTH_SZ_NET, FIELD_NORTH_HOLD_VOL, FIELD_NORTH_TOP10",`site:eastmoney.com` 北向资金页
`CONCEPT_MARGIN`,融资融券,全市场及个股融资余额、融资买入额、融资偿还额、融券余额、融券卖出量（T+1更新）,融资、融券、杠杆、两融、融资余额,[`stock_code`],"FIELD_MARGIN_BALANCE, FIELD_MARGIN_BUY, FIELD_MARGIN_REPAY, FIELD_MARGIN_SHORT_BALANCE, FIELD_MARGIN_TOTAL",—
`CONCEPT_LIMIT_UP_DOWN`,涨停跌停分析,每日涨停/跌停股详细数据：涨跌停价格、涨跌停状态、连板数、首次封板时间、开板次数,涨停、跌停、连板、封板、一字板,[],"FIELD_LIMIT_UP_PRICE, FIELD_LIMIT_DOWN_PRICE, FIELD_LIMIT_STATUS, FIELD_LIMIT_CONTINUOUS, FIELD_LIMIT_FIRST_TIME, FIELD_LIMIT_OPEN_TIMES",—
`CONCEPT_PLEDGE_HOLDER_TRADE`,股权质押与增减持,大股东股权质押统计数据（质押比例、质押次数）和明细（质押方、起止日期、是否解押），以及重要股东增减持记录,股权质押、增减持、质押比例、解押、预警线,[`stock_code`],"FIELD_PLEDGE_HOLDER, FIELD_PLEDGE_RATIO, FIELD_PLEDGE_PLEDGOR, FIELD_PLEDGE_START, FIELD_PLEDGE_END, FIELD_PLEDGE_IS_RELEASE, FIELD_TRADE_TYPE, FIELD_TRADE_VOL",`site:cninfo.com.cn` 质押/增减持公告
`CONCEPT_MACRO_ECONOMY`,宏观经济指标,中国及全球主要经济体的宏观经济指标：GDP、CPI、PPI、PMI、M2、LPR、Shibor、社融、美债收益率曲线,GDP、CPI、PPI、PMI、M2、LPR、社融、非农,[],"FIELD_MACRO_GDP_YOY, FIELD_MACRO_CPI_YOY, FIELD_MACRO_PPI_YOY, FIELD_MACRO_PMI, FIELD_MACRO_M2_YOY, FIELD_MACRO_SF_MONTH, FIELD_MACRO_US_10Y",`site:gov.cn` 经济数据发布页
`CONCEPT_INTEREST_RATE`,利率与债券收益率,Shibor各期限利率（隔夜/1周/2周/1月/3月/6月/9月/1年）、LPR（1年期/5年期）、Libor/Hibor各期限，以及温州/广州民间借贷利率,Shibor、LPR、Libor、利率、拆借、民间利率,[],"FIELD_RATE_SHIBOR_ON, FIELD_RATE_SHIBOR_1W, FIELD_RATE_SHIBOR_1M, FIELD_RATE_SHIBOR_3M, FIELD_RATE_LPR_1Y, FIELD_RATE_LPR_5Y, FIELD_RATE_WZ_COMP, FIELD_RATE_HIBOR_ON",—
`CONCEPT_FOREX_MAJOR`,主要外汇汇率,主要货币对即期汇率和历史走势（美元/人民币、欧元/美元等），以及外汇基础信息,汇率、外汇、美元、人民币、欧元,[`currency_pair`],"FIELD_FOREX_PAIR, FIELD_FOREX_BID_CLOSE, FIELD_FOREX_ASK_CLOSE, FIELD_FOREX_BID_HIGH, FIELD_FOREX_BID_LOW",—
`CONCEPT_BOND_YIELD_CURVE`,债券收益率曲线,中国国债各期限（1/2/5/10/30年期）收益率，以及中美10年期利差,国债收益率、债券、利差、中美利差,[],"FIELD_BOND_CURVE_1Y, FIELD_BOND_CURVE_2Y, FIELD_BOND_CURVE_5Y, FIELD_BOND_CURVE_10Y, FIELD_BOND_CURVE_30Y, FIELD_BOND_CURVE_SPREAD",—
`CONCEPT_FUTURES`,期货行情,国内期货主力合约日线行情、主力与连续合约映射、每日持仓排名、仓单日报、结算参数,期货、主力合约、持仓、仓单、结算,[`future_code`],"FIELD_FUT_TS_CODE, FIELD_FUT_CLOSE, FIELD_FUT_PCT_CHG, FIELD_FUT_VOL, FIELD_FUT_OI, FIELD_FUT_SETTLE",—
`CONCEPT_FUTURES_DETAIL`,期货明细数据,期货每日持仓排名（各期货公司会员成交量/持买仓量/持卖仓量及变化）、仓单日报（各仓库仓单量及增减）、结算参数（交易手续费率/保证金率）,持仓排名、仓单、保证金、手续费、交割,[`future_code`],"FIELD_FUT_DETAIL_BROKER, FIELD_FUT_DETAIL_VOL, FIELD_FUT_DETAIL_LONG, FIELD_FUT_DETAIL_SHORT, FIELD_FUT_WSR_VOL, FIELD_FUT_SETTLE_MARGIN",—
`CONCEPT_CONVERTIBLE_BOND`,可转债行情,可转债日线行情、基础信息（转股价、债券余额、票面利率、信用评级）、转股价值、转股溢价率、纯债价值、强赎状态,可转债、转股、溢价率、强赎、纯债,[`bond_code`],"FIELD_CB_NAME, FIELD_CB_CLOSE, FIELD_CB_PCT_CHG, FIELD_CB_CONV_PRICE, FIELD_CB_CB_VALUE, FIELD_CB_CB_OVER_RATE, FIELD_CB_REMAIN_SIZE",—
`CONCEPT_FUND_ETF`,基金与ETF行情,ETF日线行情、基金基础信息（管理人、基金类型、管理费）、基金份额规模、基金净值、基金持仓明细、基金分红、基金经理信息,ETF、基金、净值、规模、基金经理、持仓,[`fund_code`],"FIELD_FUND_NAME, FIELD_FUND_UNIT_NAV, FIELD_FUND_PCT_CHG, FIELD_FUND_SHARES, FIELD_FUND_MANAGEMENT, FIELD_FUND_MANAGER_NAME, FIELD_FUND_PORT_SYMBOL",`site:eastmoney.com` 基金页
`CONCEPT_DOC_MIDDAY`,午间收盘信息文档,交易日午间收盘后（11:35-12:00）生成的上午半日行情摘要、板块地位、驱动因素变化、资金博弈迹象、技术面关键位置及风险提示,午间、上午收盘、半日行情、午间文档,[`stock_code`],"FIELD_QUOTE_PCT_CHG, FIELD_QUOTE_AMOUNT, FIELD_TURNOVER_RATE, FIELD_SECTOR_PCT_CHG, FIELD_NEWS_CONTENT, FIELD_KLINE_CLOSE（5/10/20日均值）",联网搜索
`CONCEPT_DOC_CLOSE`,收盘后信息文档,交易日收盘后三阶段生成（17:30/19:30/次日9:30）：行情概览、涨停驱动因素、财务摘要、技术面分析、资金博弈、融资融券变化,收盘、盘后、全天行情、收盘文档,[`stock_code`],"FIELD_QUOTE_PCT_CHG, FIELD_QUOTE_AMOUNT, FIELD_TURNOVER_RATE, FIELD_LIMIT_UP, FIELD_FLOW_NET_AMT, FIELD_MARGIN_BALANCE, FIELD_KLINE_CLOSE(5/10/20日均值), FIELD_VAL_PE_TTM, FIELD_VAL_PB",联网搜索
`CONCEPT_DOC_VALUE`,公司潜在价值信息文档,公司长期价值档案：产业链位置、市场规模、核心项目、技术壁垒、管理团队、竞争格局、财务质量（近3年）、风险与不确定性、反证分析,潜在价值、公司价值、长期价值、价值文档,[`stock_code`],"CONCEPT_INDUSTRY_CLASSIFY全部字段, FIELD_FS_CIP, FIELD_PROFILE_CHAIRMAN, FIELD_PROFILE_MANAGER, CONCEPT_FINANCIAL_SUMMARY全部字段, CONCEPT_VALUATION_COMPARE全部字段, CONCEPT_PLEDGE_HOLDER_TRADE全部字段",`site:cninfo.com.cn`；`site:stcn.com`
`CONCEPT_DOC_RISK`,风险控制文档,全维度风险梳理：题材风险、板块退潮风险、财务风险、股东风险、技术路线风险、估值风险、流动性风险、监管风险、信息可信度风险,风险、风控、风险评估、风险文档,[`stock_code`],"CONCEPT_SECTOR_REALTIME, CONCEPT_FINANCIAL_SUMMARY全部字段, CONCEPT_TOP_HOLDERS全部字段, CONCEPT_PLEDGE_HOLDER_TRADE全部字段, CONCEPT_VALUATION_COMPARE（PE分位数）, FIELD_TURNOVER_RATE, FIELD_ANNOUNCE_TYPE",`site:cninfo.com.cn`；`site:stcn.com`
`CONCEPT_DOC_COUNTER`,反证文档,从“为什么这笔投资可能是错的”角度出发的系统性批判：产业路径反证、产业链环节反证、公司真实受益反证、龙头属性反证、项目兑现反证、估值反证、替代公司反证,反证、批判、风险验证、反证文档,[`stock_code`],"CONCEPT_INDUSTRY_BG全部字段, CONCEPT_POLICY_ORIGINAL全部字段, FIELD_FS_TOTAL_REVENUE, CONCEPT_INDUSTRY_CLASSIFY全部字段, CONCEPT_VALUATION_COMPARE（PE分位数）",`site:cninfo.com.cn`；`site:stcn.com`
`CONCEPT_DOC_VALUATION`,估值辅助文档,系统化估值参考框架：当前估值水位、成长性支撑、产业背景对估值的影响、风险对估值折价的影响、估值情景分析（乐观/中性/悲观）、估值参考结论,估值文档、估值辅助、情景分析、估值参考,[`stock_code`],"FIELD_QUOTE_PRICE, FIELD_TOTAL_MV, FIELD_VAL_PE_TTM, FIELD_VAL_PB, FIELD_VAL_PE_PCT, FIELD_VAL_IND_PE, FIELD_FIN_REVENUE_YOY, FIELD_FIN_PROFIT_YOY, FIELD_FIN_GROSS_MARGIN, FIELD_FIN_NET_MARGIN",—
`CONCEPT_FINANCIAL_DETAIL`,财务报表细项,三大报表中未被财务摘要和深度指标覆盖的详细科目：利润表细项（信用减值损失、公允价值变动收益、投资收益等）、资产负债表细项（交易性金融资产、长期股权投资、递延所得税资产等）、现金流量表细项（收到/支付其他与经营活动有关的现金等），以及银行/保险/证券专用科目,财务报表细项、信用减值、投资收益、递延所得税、保险专用,[`stock_code`],待补充（由三大报表中未被覆盖的详细科目构成）,—
