报表类型,科目名称,英文名(api_column),数据类型,说明,是否有用,用途说明
现金流量表,支付的各项税费,cash_for_taxes,float,缴税付现,True,现金流质量/资本支出分析
现金流量表,经营活动现金流出小计,op_cash_outflow,float,经营活动现金流出,True,现金流质量/资本支出分析
现金流量表,经营活动产生的现金流量净额,op_cash_flow,float,经营活动现金流净额,True,现金流质量/资本支出分析
现金流量表,收回投资所收到的现金,cash_from_inv_recovery,float,收回投资,False,现金流质量/资本支出分析
现金流量表,取得投资收益所收到的现金,cash_from_inv_income,float,取得投资收益,False,现金流质量/资本支出分析
现金流量表,购建固定资产、无形资产和其他长期资产所支付的现金,capex,float,资本支出,True,现金流质量/资本支出分析
现金流量表,投资所支付的现金,cash_for_investment,float,投资支付,False,现金流质量/资本支出分析
现金流量表,投资活动产生的现金流量净额,inv_cash_flow,float,投资活动现金流净额,True,现金流质量/资本支出分析
现金流量表,取得借款收到的现金,cash_from_borrowing,float,取得借款,False,现金流质量/资本支出分析
现金流量表,偿还债务支付的现金,cash_for_debt,float,偿还债务,False,现金流质量/资本支出分析
现金流量表,分配股利、利润或偿付利息所支付的现金,cash_for_dividend,float,分配股利,True,现金流质量/资本支出分析
现金流量表,筹资活动产生的现金流量净额,fin_cash_flow,float,筹资活动现金流净额,True,现金流质量/资本支出分析
现金流量表,现金及现金等价物净增加额,cash_net_increase,float,现金净增加额,True,现金流质量/资本支出分析
现金流量表,期初现金及现金等价物余额,cash_begin,float,期初现金,True,现金流质量/资本支出分析
现金流量表,期末现金及现金等价物余额,cash_end,float,期末现金,True,现金流质量/资本支出分析
现金流量表,净利润,net_profit_cf,float,净利润(间接法),True,现金流质量/资本支出分析
现金流量表,资产减值准备,asset_impair_cf,float,资产减值准备(间接法),False,现金流质量/资本支出分析
现金流量表,固定资产折旧,depreciation,float,折旧,True,现金流质量/资本支出分析
现金流量表,无形资产摊销,amortization,float,无形资产摊销,False,现金流质量/资本支出分析
现金流量表,财务费用,fin_exp_cf,float,财务费用(间接法),False,现金流质量/资本支出分析
现金流量表,投资损失,inv_loss,float,投资损失(间接法),False,现金流质量/资本支出分析
现金流量表,存货的减少,inventory_dec,float,存货减少(间接法),False,现金流质量/资本支出分析
现金流量表,经营性应收项目的减少,receivable_dec,float,应收减少(间接法),False,现金流质量/资本支出分析
现金流量表,经营性应付项目的增加,payable_inc,float,应付增加(间接法),False,现金流质量/资本支出分析
现金流量表,其他,other_cf,float,其他(间接法),False,现金流质量/资本支出分析
